Trend data for Model:	
Model time base:		3
Plot duration (secs):		1800

Plot information - trends












Plot information - trajectories














Tag-names		24_PC1024:Measurement		24_PC1024:InternalSetpoint		24_PC1024:ControllerOutput		24_FC1005:Measurement		24_FC1005:InternalSetpoint		24_FC1019:Measurement		24_FC1019:InternalSetpoint		24_FC1019:ControllerOutput		24_LC1016:Measurement		24_LC1016:InternalSetpoint		24_LC1016:ControllerOutput		24_LC1015:Measurement		24_LC1015:InternalSetpoint		24_LC1015:ControllerOutput		24_FC1015:Measurement		24_FC1015:InternalSetpoint		24_FC1015:ControllerOutput		24_LC1028:Measurement		24_LC1028:InternalSetpoint		24_LC1028:ControllerOutput		24_TC1015:Measurement		24_TC1015:InternalSetpoint		24_TC1015:ControllerOutput		24_TC1088:Measurement		24_TC1088:InternalSetpoint		24_TC1088:ControllerOutput
Units		barg		barg		%		t/h		t/h		t/h		t/h		%		%		%		t/h		%		%		t/h		t/h		t/h		%		%		%		%		C		C		t/h		C		C		%
Legend titles																																																				
219		3.786121		3.78675		40.13719		10.26111		13.4079		22.70584		22.71104		78.8599		52.83802		54		7.311873		39.84277		40		22.6458		100.5611		98.29728		55.95975		52.81533		52.76732		62.12337		35.29532		35.3		98.30208		48.51026		48.51		52.80367
222		3.786311		3.78675		40.14564		14.39725		13.4079		22.69454		22.71023		78.86405		52.87182		54		7.399451		39.94696		40		22.70825		96.84356		98.20736		56.8316		52.81746		52.83192		61.49765		35.29737		35.3		98.33095		48.51218		48.51		52.82288
225		3.782317		3.78675		39.94502		9.565043		13.4079		22.69848		22.7077		78.84832		52.86022		54		7.356174		39.96987		40		22.72192		101.3167		98.36883		55.72854		52.77716		52.87658		60.64621		35.29921		35.3		98.35546		48.49994		48.51		52.70057
228		3.78599		3.78675		40.12794		15.32676		13.4079		22.67409		22.73243		78.89193		52.82073		54		7.23233		39.92018		40		22.69203		96.0699		98.36751		57.00266		52.77425		52.70451		62.33487		35.29395		35.3		98.27889		48.50647		48.51		52.76599
231		3.785744		3.78675		40.11518		8.640701		13.4079		22.68778		22.74232		78.87816		52.78582		54		7.121794		39.91119		40		22.68655		102.1893		98.23551		55.41502		52.76536		52.8509		60.78026		35.28649		35.3		98.16902		48.49503		48.51		52.65155
234		3.786505		3.78675		40.15286		16.39213		13.4079		22.76836		22.69477		78.73818		52.8178		54		7.203894		39.97548		40		22.72504		94.91708		98.2861		57.2018		52.85945		52.95619		60.66494		35.29753		35.3		98.32565		48.52296		48.51		52.93104
237		3.786269		3.78675		40.14021		7.887046		13.4079		22.76399		22.72811		78.76614		52.87775		54		7.36646		39.96018		40		22.71578		102.9327		98.22779		55.16274		52.81893		52.66594		63.15978		35.27834		35.3		98.04817		48.51502		48.51		52.85177
240		3.786077		3.78675		40.12981		16.96605		13.4079		22.7134		22.70086		78.7824		52.78453		54		7.087855		39.92377		40		22.69383		94.35966		98.42367		57.31181		52.84824		52.8222		61.8898		35.27307		35.3		97.97048		48.52405		48.51		52.94221
243		3.784943		3.78675		40.0724		7.475673		13.4079		22.73288		22.70448		78.7521		52.85469		54		7.279773		39.96031		40		22.71565		103.4656		98.22757		54.96475		52.82871		52.87261		61.18898		35.29701		35.3		98.31313		48.52498		48.51		52.9517
246		3.785957		3.78675		40.12242		16.40415		13.4079		22.68722		22.68468		78.77237		52.79871		54		7.108269		39.92669		40		22.69537		94.76824		98.15412		57.07376		52.8238		52.76747		62.19051		35.28865		35.3		98.1901		48.51534		48.51		52.85551
249		3.786237		3.78675		40.13581		7.746666		13.4079		22.73719		22.69016		78.72126		52.8228		54		7.16718		39.93912		40		22.70271		102.947		98.18863		55.02083		52.83973		52.95751		60.44734		35.30246		35.3		98.3876		48.49409		48.51		52.64309
252		3.7859		3.78675		40.11818		16.03454		13.4079		22.72127		22.69184		78.73183		52.80825		54		7.115036		39.88983		40		22.67305		94.79503		98.23153		57.02061		52.8352		52.69877		62.98917		35.3088		35.3		98.47658		48.52789		48.51		52.98122
255		3.787418		3.78675		40.19328		8.691662		13.4079		22.67632		22.69622		78.78345		52.7551		54		6.951504		39.93217		40		22.69834		102.1668		98.34968		55.19257		52.85212		52.87177		61.42674		35.28902		35.3		98.19027		48.53307		48.51		53.03321
258		3.787718		3.78675		40.20801		16.52321		13.4079		22.6838		22.68111		78.75713		52.81407		54		7.111008		39.96432		40		22.71752		94.90022		98.26762		56.9543		52.84062		53.04954		59.53236		35.29073		35.3		98.21278		48.51863		48.51		52.889
261		3.787899		3.78675		40.21646		8.025923		13.4079		22.73783		22.7046		78.72342		52.85374		54		7.215058		39.9276		40		22.69538		102.7184		98.38002		55.01789		52.82788		52.77234		62.17345		35.30947		35.3		98.48139		48.53169		48.51		53.01989
264		3.78663		3.78675		40.15246		17.11007		13.4079		22.62596		22.68157		78.81823		52.8234		54		7.117285		39.94846		40		22.70779		94.11842		98.25311		57.105		52.88002		53.00845		60.3315		35.30516		35.3		98.41839		48.5146		48.51		52.84917
267		3.786648		3.78675		40.1529		7.648107		13.4079		22.69127		22.66352		78.73067		52.75985		54		6.923591		39.91955		40		22.69034		103.1352		98.2004		54.82842		52.84171		52.76095		62.42332		35.30028		35.3		98.34628		48.51117		48.51		52.81499
270		3.786312		3.78675		40.13574		15.62933		13.4079		22.70909		22.71293		78.76534		52.73809		54		6.850347		39.8893		40		22.67208		95.1693		98.21699		56.7849		52.83673		53.05145		59.4662		35.31142		35.3		98.5053		48.51834		48.51		52.88686
273		3.785888		3.78675		40.11384		8.783889		13.4079		22.69099		22.69004		78.75215		52.79243		54		6.996236		39.89873		40		22.67762		102.0246		97.97565		55.00185		52.9037		52.91998		61.44827		35.29049		35.3		98.20124		48.51229		48.51		52.82646
