Trend data for Model:	
Model time base:		3
Plot duration (secs):		1770

Plot information - trends












Plot information - trajectories














Tag-names		24_PC1024:Measurement		24_PC1024:InternalSetpoint		24_PC1024:ControllerOutput		24_FC1005:Measurement		24_FC1005:InternalSetpoint		24_FC1019:Measurement		24_FC1019:InternalSetpoint		24_FC1019:ControllerOutput		24_LC1016:Measurement		24_LC1016:InternalSetpoint		24_LC1016:ControllerOutput		24_LC1015:Measurement		24_LC1015:InternalSetpoint		24_LC1015:ControllerOutput		24_FC1015:Measurement		24_FC1015:InternalSetpoint		24_FC1015:ControllerOutput		24_LC1028:Measurement		24_LC1028:InternalSetpoint		24_LC1028:ControllerOutput		24_TC1015:Measurement		24_TC1015:InternalSetpoint		24_TC1015:ControllerOutput		24_TC1088:Measurement		24_TC1088:InternalSetpoint		24_TC1088:ControllerOutput
Units		barg		barg		%		t/h		t/h		t/h		t/h		%		%		%		t/h		%		%		t/h		t/h		t/h		%		%		%		%		C		C		t/h		C		C		%
Legend titles																																																				
189		3.786243		3.78675		40.15711		12.06716		11.86007		23.0411		23.01205		79.51548		53.95768		54		11.86007		40.01667		40		23.01999		98.20066		98.29992		55.00933		52.80563		52.88845		60.85367		35.2974		35.3		98.23636		48.50105		48.51		52.71482
192		3.786216		3.78675		40.15561		11.89253		11.87622		23.00771		23.00724		79.53458		53.96338		54		11.87622		40.02762		40		23.02659		98.28372		98.16744		54.95188		52.74751		52.80747		61.08311		35.29436		35.3		98.19157		48.50834		48.51		52.78765
195		3.787513		3.78675		40.22062		11.98119		12.10084		23.05084		23.03883		79.52787		54.0414		54		12.10084		40.07843		40		23.05712		98.29506		98.38989		55.00557		52.74456		52.76605		61.46803		35.30869		35.3		98.39877		48.49774		48.51		52.68164
198		3.787217		3.78675		40.20564		11.95142		11.87506		22.95897		22.99127		79.5585		53.96306		54		11.87506		39.97634		40		22.9959		98.43221		98.43101		54.98132		52.77749		52.89512		60.50615		35.28566		35.3		98.0663		48.50415		48.51		52.74566
201		3.786474		3.78675		40.16839		11.98128		11.89691		22.98219		23.04685		79.58171		53.97064		54		11.89691		39.98123		40		22.99888		98.21132		98.06091		54.9435		52.79876		52.71836		62.48693		35.30472		35.3		98.34057		48.50447		48.51		52.74875
204		3.785976		3.78675		40.14333		11.95715		11.99885		23.067		23.00905		79.50029		54.00598		54		11.99885		40.03368		40		23.0304		98.27219		98.52436		55.04569		52.7565		52.53178		63.93088		35.30097		35.3		98.28704		48.49706		48.51		52.6746
207		3.786686		3.78675		40.17889		11.94642		11.97549		23.0047		23.01274		79.54508		53.99794		54		11.97549		40.00189		40		23.01137		98.24694		98.0227		54.92506		52.75329		52.67361		62.48199		35.29058		35.3		98.13696		48.49781		48.51		52.68205
210		3.787291		3.78675		40.20942		12.01839		11.92321		23.03687		23.04938		79.54882		53.97982		54		11.92321		40.06476		40		23.04916		98.18895		98.38049		55.02961		52.75149		52.94785		59.71607		35.29909		35.3		98.25971		48.49967		48.51		52.70081
213		3.787879		3.78675		40.239		11.95606		12.10146		23.01835		22.99319		79.52363		54.0417		54		12.10146		40.00038		40		23.01055		98.27754		98.32323		54.99303		52.81297		52.83039		61.50287		35.30413		35.3		98.3328		48.48655		48.51		52.56969
216		3.787729		3.78675		40.23176		12.1109		12.06823		22.98446		23.01933		79.56418		54.03016		54		12.06823		40.07489		40		23.05531		98.25999		98.11937		54.94915		52.78148		52.87133		60.77968		35.31214		35.3		98.44868		48.52385		48.51		52.94262
219		3.786574		3.78675		40.1744		12.00782		12.03658		23.00917		23.05495		79.5723		54.01919		54		12.03658		39.99412		40		23.00689		98.32929		98.25223		54.96694		52.73244		52.80113		60.98951		35.31507		35.3		98.49101		48.51836		48.51		52.88774
222		3.787022		3.78675		40.19673		11.8982		11.81719		22.97706		23.03437		79.58029		53.94302		54		11.81719		39.97422		40		22.99497		98.28248		98.06633		54.9302		52.8293		52.8156		61.81039		35.32447		35.3		98.62546		48.51323		48.51		52.83644
225		3.787331		3.78675		40.21231		11.97503		12.05448		23.03996		23.04241		79.54381		54.02541		54		12.05448		40.06972		40		23.05231		98.31731		98.27961		54.97569		52.77589		52.78361		61.59398		35.32804		35.3		98.67706		48.50337		48.51		52.73787
228		3.78721		3.78675		40.20631		11.99241		12.02976		22.98687		23.02645		79.56881		54.01681		54		12.02976		40.02569		40		23.02593		98.16159		98.41366		55.05045		52.80874		52.74801		62.27741		35.29873		35.3		98.25511		48.5043		48.51		52.74717
231		3.787689		3.78675		40.23027		11.94978		12.03322		23.04178		23.01489		79.52467		54.01799		54		12.03322		40.02149		40		23.02344		98.26921		98.55423		55.05858		52.814		52.72174		62.59249		35.28564		35.3		98.06607		48.51873		48.51		52.89145
