Trend data for Model:	
Model time base:		8
Plot duration (secs):		1800

Plot information - trends












Plot information - trajectories














Tag-names		23LIC0001:Measurement		23LIC0001:InternalSetpoint		23LIC0001:ControllerOutput		23LIC0002:Measurement		23LIC0002:InternalSetpoint		23LIC0002:ControllerOutput
Units		fract		fract		fract		fract		fract		fract
Legend titles												
1696		0.5997395		0.6		0.2416105		0.8012146		0.8		0.6722549
1704		0.6000072		0.6		0.2447236		0.7998767		0.8		0.6643973
1712		0.6007066		0.6		0.2527254		0.8009547		0.8		0.670727
1720		0.600539		0.6		0.2508224		0.8008314		0.8		0.6698723
1728		0.6002365		0.6		0.2474156		0.8012819		0.8		0.6726485
1736		0.6005487		0.6		0.2510634		0.8006353		0.8		0.6688677
1744		0.6018971		0.6		0.2666969		0.7988608		0.8		0.657864
1752		0.5998317		0.6		0.2429788		0.7990518		0.8		0.6589067
1760		0.5998846		0.6		0.2435777		0.7983578		0.8		0.6548669
1768		0.5993379		0.6		0.2372762		0.7991707		0.8		0.6596596
1776		0.6006926		0.6		0.2526388		0.7989514		0.8		0.6582662
1784		0.5986116		0.6		0.2285704		0.799214		0.8		0.6597416
1792		0.6003558		0.6		0.2485335		0.8012		0.8		0.671433
1800		0.5994935		0.6		0.2385459		0.799868		0.8		0.6634084
